				manner2	manner2	manner2	manner2	manner2	manner2	manner2	manner1	manner1			manner1	place1	place2	place2		place1	place2	place2	place2	place2	place1	place2	place2	place2	place1	place2	place2	place2	phonation	phonation	phonation	phonation	phonation	phonation	height	height	backness	backness			
IPA	X-SAMPA	consonantal	syllabic	nasal	stop	fricative	approximant	trill	flap	affricate	continuant	sonorant	lateral	rhotic	liquid	labial	bilabial	labiodental	lingual	coronal	dental	alveolar	post-alveolar	retroflex	dorsal	palatal	velar	uvular	laryngeal	pharyngeal	epiglottal	glottal	egressive	voice	nasalization	aspiration	ejective	click	high	low	front	back	round	tense	long
ɳ	n`	+	-	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	+	+	-	-	-	+	-	-	-	-	-	-	-	-	+	+	+	-	-	-	0	0	0	0	0	0	-
ŋ	N	+	-	+	-	-	-	-	-	-	+	+	-	-	-	-	-	-	+	-	-	-	-	-	+	-	+	-	-	-	-	-	+	+	+	-	-	-	0	0	0	0	0	0	-
p	p	+	-	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
p͡f	p)f	+	-	-	-	-	-	-	-	+	+	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
p͡ɸ	p)F	+	-	-	-	-	-	-	-	+	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
p͡t	p)t	+	-	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
ɸ	F	+	-	-	-	+	-	-	-	-	+	-	-	-	-	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
q	q	+	-	-	+	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	+	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
q͡χ	q)X	+	-	-	-	-	-	-	-	+	+	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	+	-	-	-	-	+	-	-	-	-	-	0	0	0	0	0	0	-
r	r	+	-	-	-	-	-	+	-	-	+	+	-	+	+	-	-	-	+	+	-	+	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	0	0	0	-
